"","precinct","year","time_after_int","cure","time_after_int_recode"
"1",23,"2006",0,"0",0
"2",23,"2007",0,"0",0
"3",23,"2008",0,"0",0
"4",23,"2009",0,"0",0
"5",23,"2010",0,"0",0
"6",23,"2011",0,"0",0
"7",23,"2012",0,"0",0
"8",23,"2013",0,"0",0
"9",23,"2014",0,"0",0
"10",23,"2015",0,"0",0
"11",23,"2016",1,"1",0
"12",23,"2017",2,"1",1
"13",23,"2018",3,"1",2
"14",23,"2019",4,"1",3
"15",32,"2006",0,"0",0
"16",32,"2007",0,"0",0
"17",32,"2008",0,"0",0
"18",32,"2009",0,"0",0
"19",32,"2010",0,"0",0
"20",32,"2011",0,"0",0
"21",32,"2012",0,"0",0
"22",32,"2013",0,"0",0
"23",32,"2014",0,"0",0
"24",32,"2015",0,"0",0
"25",32,"2016",1,"1",0
"26",32,"2017",2,"1",1
"27",32,"2018",3,"1",2
"28",32,"2019",4,"1",3
"29",40,"2006",0,"0",0
"30",40,"2007",0,"0",0
"31",40,"2008",0,"0",0
"32",40,"2009",0,"0",0
"33",40,"2010",0,"0",0
"34",40,"2011",0,"0",0
"35",40,"2012",0,"0",0
"36",40,"2013",1,"1",0
"37",40,"2014",2,"1",1
"38",40,"2015",3,"1",2
"39",40,"2016",4,"1",3
"40",40,"2017",5,"1",4
"41",40,"2018",6,"1",5
"42",40,"2019",7,"1",6
"43",42,"2006",0,"0",0
"44",42,"2007",0,"0",0
"45",42,"2008",0,"0",0
"46",42,"2009",0,"0",0
"47",42,"2010",0,"0",0
"48",42,"2011",0,"0",0
"49",42,"2012",0,"0",0
"50",42,"2013",0,"0",0
"51",42,"2014",0,"0",0
"52",42,"2015",1,"1",0
"53",42,"2016",2,"1",1
"54",42,"2017",3,"1",2
"55",42,"2018",4,"1",3
"56",42,"2019",5,"1",4
"57",44,"2006",0,"0",0
"58",44,"2007",0,"0",0
"59",44,"2008",0,"0",0
"60",44,"2009",0,"0",0
"61",44,"2010",0,"0",0
"62",44,"2011",0,"0",0
"63",44,"2012",0,"0",0
"64",44,"2013",0,"0",0
"65",44,"2014",0,"0",0
"66",44,"2015",0,"0",0
"67",44,"2016",1,"1",0
"68",44,"2017",2,"1",1
"69",44,"2018",3,"1",2
"70",44,"2019",4,"1",3
"71",46,"2006",0,"0",0
"72",46,"2007",0,"0",0
"73",46,"2008",0,"0",0
"74",46,"2009",0,"0",0
"75",46,"2010",0,"0",0
"76",46,"2011",0,"0",0
"77",46,"2012",0,"0",0
"78",46,"2013",0,"0",0
"79",46,"2014",0,"0",0
"80",46,"2015",1,"1",0
"81",46,"2016",2,"1",1
"82",46,"2017",3,"1",2
"83",46,"2018",4,"1",3
"84",46,"2019",5,"1",4
"85",47,"2006",0,"0",0
"86",47,"2007",0,"0",0
"87",47,"2008",0,"0",0
"88",47,"2009",0,"0",0
"89",47,"2010",0,"0",0
"90",47,"2011",0,"0",0
"91",47,"2012",0,"0",0
