"precinct","shootings_count","shootings_per_person","year","cure","pct_change"
23,41,0.000560829480480398,2011,"0",-10.8695652173914
23,32,0.000437720570131043,2012,"0",-21.951219512195
23,12,0.000164145213799141,2013,"0",-62.5
23,16,0.000218860285065521,2014,"0",33.3333333333331
23,23,0.000314611659781687,2015,"0",43.7500000000002
23,19,0.000259896588515307,2016,"1",-17.391304347826
23,10,0.000136787678165951,2017,"1",-47.3684210526316
23,20,0.000273575356331902,2018,"1",100
23,33,0.000451399337947638,2019,"1",64.9999999999999
32,33,0.000465168729384568,2011,"0",-13.1578947368421
32,33,0.000465168729384568,2012,"0",0
32,34,0.00047926475148713,2013,"0",3.03030303030287
32,25,0.000352400552564066,2014,"0",-26.4705882352941
32,32,0.000451072707282005,2015,"0",28.0000000000001
32,42,0.000592032928307632,2016,"1",31.2500000000001
32,25,0.000352400552564066,2017,"1",-40.4761904761906
32,14,0.000197344309435877,2018,"1",-44
32,19,0.00026782441994869,2019,"1",35.7142857142856
40,87,0.000950850847568773,2011,"0",29.8507462686568
40,59,0.000644829885132846,2012,"0",-32.183908045977
40,38,0.000415314163305901,2013,"1",-35.593220338983
40,42,0.00045903144365389,2014,"1",10.5263157894735
40,32,0.000349738242783916,2015,"1",-23.8095238095238
40,34,0.000371596882957911,2016,"1",6.25000000000007
40,32,0.000349738242783916,2017,"1",-5.88235294117654
40,39,0.000426243483392898,2018,"1",21.8750000000001
40,32,0.000349738242783916,2019,"1",-17.948717948718
42,55,0.000689551415460996,2011,"0",14.5833333333333
42,61,0.00076477520623856,2012,"0",10.909090909091
42,54,0.000677014116998069,2013,"0",-11.4754098360656
42,55,0.000689551415460996,2014,"0",1.85185185185182
42,40,0.000501491938517088,2015,"1",-27.2727272727273
42,27,0.000338507058499035,2016,"1",-32.4999999999999
42,31,0.000388656252350743,2017,"1",14.8148148148145
42,37,0.000463880043128307,2018,"1",19.3548387096776
42,37,0.000463880043128307,2019,"1",0
44,68,0.000464350830709979,2011,"0",38.7755102040818
44,57,0.000389235255153953,2012,"0",-16.1764705882353
44,42,0.000286804924850281,2013,"0",-26.3157894736843
44,53,0.000361920500406307,2014,"0",26.1904761904762
44,58,0.000396063943840864,2015,"0",9.43396226415087
44,45,0.000307290990911015,2016,"1",-22.4137931034483
44,36,0.000245832792728812,2017,"1",-20
44,53,0.000361920500406307,2018,"1",47.2222222222224
44,34,0.000232175415354989,2019,"1",-35.8490566037737
46,52,0.000405616224648986,2011,"0",-19.9999999999999
46,67,0.000522620904836194,2012,"0",28.846153846154
46,32,0.000249609984399376,2013,"0",-52.2388059701493
46,68,0.000530421216848674,2014,"0",112.5
46,68,0.000530421216848674,2015,"1",0
46,44,0.000343213728549142,2016,"1",-35.2941176470588
46,31,0.000241809672386895,2017,"1",-29.5454545454547
46,26,0.000202808112324493,2018,"1",-16.1290322580643
46,37,0.000288611544461778,2019,"1",42.307692307692
47,65,0.000426581962802053,2011,"0",-1.51515151515154
47,60,0.000393767965663433,2012,"0",-7.69230769230782
47,46,0.000301888773675299,2013,"0",-23.3333333333332
47,59,0.00038720516623571,2014,"0",28.2608695652175
47,36,0.00023626077939806,2015,"0",-38.9830508474577
47,29,0.000190321183403993,2016,"1",-19.4444444444444
47,43,0.000282200375392127,2017,"1",48.2758620689652
47,41,0.000269074776536679,2018,"1",-4.65116279069777
47,26,0.000170632785120821,2019,"1",-36.5853658536585
60,34,0.00032605151613955,2011,"0",36.0000000000001
60,19,0.00018220525901916,2012,"0",-44.1176470588236
60,39,0.000374000268513013,2013,"0",105.263157894737
60,24,0.000230154011392624,2014,"0",-38.4615384615383
